amfi_code,scheme_name,CAGR_3Y,Sharpe_Ratio,Alpha,expense_ratio_pct,Maximum_Drawdown,Return_Rank,Sharpe_Rank,Alpha_Rank,Expense_Rank,Drawdown_Rank,Return_Score,Sharpe_Score,Alpha_Score,Expense_Score,Drawdown_Score,Fund_Score
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.3400091602163293,1.4482911703262595,0.2698375144191807,1.46,-0.11265729075028275,2.0,1.0,7.0,23.0,8.0,97.43589743589743,100.0,84.61538461538461,43.58974358974359,82.05128205128204,85.89743589743588
120505,ICICI Pru Midcap Fund - Regular - Growth,0.317775371512347,1.1801011976606495,0.2926358334175106,1.36,-0.18188513572116294,5.0,5.0,3.0,15.0,25.0,89.74358974358975,89.74358974358975,94.87179487179486,64.1025641025641,38.46153846153847,81.7948717948718
120843,Kotak Flexicap Fund - Regular - Growth,0.2958277033726251,1.3067439695428407,0.27330465038306057,1.45,-0.1297396816518679,7.0,2.0,5.0,22.0,13.0,84.61538461538461,97.43589743589743,89.74358974358975,46.15384615384615,69.23076923076923,81.53846153846153
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.32442459421956116,1.0936987435346308,0.2719535450128533,1.38,-0.16217208574644848,4.0,7.0,6.0,17.0,20.0,92.3076923076923,84.61538461538461,87.17948717948718,58.97435897435898,51.28205128205128,80.25641025641023
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.3248742855621496,1.0265242847993004,0.2119482701352573,0.8,-0.12588275606922517,3.0,10.0,13.0,12.0,12.0,94.87179487179486,76.92307692307693,69.23076923076923,71.7948717948718,71.7948717948718,79.48717948717949
119094,Axis Midcap Fund - Regular - Growth,0.35111802096428524,0.9982309868636414,0.2607666908004223,1.38,-0.20960883862039192,1.0,11.0,9.0,17.0,28.0,100.0,74.35897435897436,79.48717948717949,58.97435897435898,30.76923076923077,76.41025641025642
119551,SBI Bluechip Fund - Regular Plan - Growth,0.3045652442030289,1.2082665673727175,0.23201007160635082,1.54,-0.1501238549864533,6.0,4.0,10.0,30.5,17.0,87.17948717948718,92.3076923076923,76.92307692307693,24.358974358974358,58.97435897435898,74.16666666666667
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.2917890157839378,1.2349300257743296,0.2827036785246582,1.6,-0.1639674294693263,8.0,3.0,4.0,36.5,21.0,82.05128205128204,94.87179487179486,92.3076923076923,8.974358974358974,48.717948717948715,73.01282051282051
101206,ABSL Frontline Equity Fund - Regular - Growth,0.2896769452874166,1.0272133278753697,0.21399784776051212,1.6,-0.11291596329323073,9.0,9.0,12.0,36.5,9.0,79.48717948717949,79.48717948717949,71.7948717948718,8.974358974358974,79.48717948717949,67.37179487179486
119598,SBI Small Cap Fund - Regular Plan - Growth,0.2666992200118774,0.9453082575156093,0.3033696538698332,1.43,-0.2870600572176455,12.0,14.0,1.0,21.0,36.0,71.7948717948718,66.66666666666666,100.0,48.717948717948715,10.256410256410255,66.53846153846153
